timestamp,tps,rtps,wtps,bread/s,bwrtn/s
2018-06-18 05:42:01 UTC,2.92,0.0,2.92,0.0,23.59
2018-06-18 05:43:01 UTC,3.23,0.22,3.02,11.34,24.68
2018-06-18 05:44:01 UTC,10.54,7.32,3.22,244.26,26.01
2018-06-18 05:45:01 UTC,3.46,0.55,2.92,11.33,24.12
2018-06-18 05:46:01 UTC,3.3,0.27,3.03,5.2,24.79
2018-06-18 05:47:01 UTC,4.98,0.63,4.35,33.61,35.87
2018-06-18 05:48:01 UTC,2.91,0.0,2.91,0.0,23.85
2018-06-18 05:49:01 UTC,2.78,0.02,2.77,0.13,22.53
2018-06-18 05:50:01 UTC,3.08,0.17,2.92,1.73,23.47
2018-06-18 05:51:01 UTC,3.77,0.4,3.37,12.53,31.32
2018-06-18 05:52:01 UTC,4.96,1.09,3.86,26.13,32.37
2018-06-18 05:53:01 UTC,22.34,17.42,4.91,1053.87,53.87
2018-06-18 05:54:01 UTC,17.81,10.69,7.12,896.91,65.0
2018-06-18 05:55:01 UTC,18.51,11.08,7.43,334.79,66.33
2018-06-18 05:56:01 UTC,27.55,22.29,5.26,571.64,209.96
2018-06-18 05:57:01 UTC,7.83,3.28,4.55,116.88,66.26
2018-06-18 05:58:01 UTC,10.55,3.94,6.61,137.97,54.09
2018-06-18 05:59:01 UTC,18.18,12.84,5.34,420.68,73.72
2018-06-18 06:00:01 UTC,23.71,12.12,11.59,441.85,94.18
2018-06-18 06:01:01 UTC,46.37,41.72,4.65,1573.75,44.5
2018-06-18 06:02:01 UTC,5.44,2.28,3.16,80.49,28.73
2018-06-18 06:03:01 UTC,4.76,2.11,2.64,73.48,21.81
2018-06-18 06:04:01 UTC,17.45,13.34,4.11,699.49,36.05
2018-06-18 06:05:01 UTC,18.82,15.01,3.81,327.83,31.71
2018-06-18 06:06:01 UTC,8.09,4.04,4.04,88.33,33.54
2018-06-18 06:07:01 UTC,17.56,9.55,8.01,297.82,69.8
2018-06-18 06:08:01 UTC,3.18,0.08,3.1,1.87,26.39
2018-06-18 06:09:01 UTC,13.38,9.87,3.51,538.97,32.89
2018-06-18 06:10:01 UTC,2.65,0.0,2.65,0.0,23.74
2018-06-18 06:11:01 UTC,3.97,0.42,3.55,10.67,28.8
2018-06-18 06:12:01 UTC,2.79,0.0,2.79,0.0,22.7
2018-06-18 06:13:01 UTC,4.03,1.1,2.93,18.65,25.04
2018-06-18 06:14:01 UTC,2.85,0.0,2.85,0.0,23.07
2018-06-18 06:15:01 UTC,2.87,0.0,2.87,0.0,23.75
2018-06-18 06:16:01 UTC,3.58,0.0,3.58,0.0,29.19
2018-06-18 06:17:01 UTC,2.5,0.0,2.5,0.0,20.27
2018-06-18 06:18:01 UTC,4.01,0.72,3.3,12.25,26.76
2018-06-18 06:19:01 UTC,3.43,0.3,3.13,8.4,25.73
2018-06-18 06:20:01 UTC,3.16,0.28,2.88,18.12,26.12
2018-06-18 06:21:01 UTC,12.11,8.66,3.45,267.65,28.15
2018-06-18 06:22:01 UTC,3.64,0.08,3.55,1.46,30.69
2018-06-18 06:23:01 UTC,6.79,1.49,5.29,25.89,59.22
2018-06-18 06:24:01 UTC,15.3,9.36,5.95,718.64,60.09
2018-06-18 06:25:01 UTC,16.66,7.63,9.02,216.26,72.7
2018-06-18 06:26:01 UTC,27.25,23.54,3.71,598.37,33.96
2018-06-18 06:27:01 UTC,4.09,1.2,2.89,51.84,23.66
2018-06-18 06:28:01 UTC,12.08,9.33,2.75,592.9,22.3
2018-06-18 06:29:01 UTC,19.11,15.38,3.73,567.55,33.28
2018-06-18 06:30:01 UTC,16.1,12.97,3.13,819.34,25.84
2018-06-18 06:31:01 UTC,14.94,9.35,5.59,285.03,48.97
2018-06-18 06:32:01 UTC,4.41,1.39,3.02,96.9,24.95
2018-06-18 06:33:01 UTC,9.95,2.11,7.84,54.37,61.55
2018-06-18 06:34:01 UTC,4.02,1.05,2.97,25.88,23.88
2018-06-18 06:35:01 UTC,3.83,0.85,2.98,22.65,24.38
2018-06-18 06:36:01 UTC,3.18,0.0,3.18,0.0,26.15
2018-06-18 06:37:01 UTC,2.83,0.03,2.8,0.27,22.53
2018-06-18 06:38:01 UTC,3.0,0.0,3.0,0.0,24.55
2018-06-18 06:39:01 UTC,2.62,0.0,2.62,0.0,22.93
2018-06-18 06:40:01 UTC,3.6,0.0,3.6,0.0,29.19
2018-06-18 06:41:01 UTC,3.0,0.0,3.0,0.0,24.54
2018-06-18 06:42:01 UTC,2.97,0.03,2.93,0.53,23.75
2018-06-18 06:43:01 UTC,2.85,0.0,2.85,0.0,23.19
2018-06-18 06:44:01 UTC,4.34,1.53,2.8,37.63,22.41
2018-06-18 06:45:01 UTC,8.4,0.37,8.03,22.53,63.99
2018-06-18 06:46:01 UTC,3.58,0.02,3.57,0.13,29.61
2018-06-18 06:47:01 UTC,3.09,0.0,3.09,0.0,25.09
2018-06-18 06:48:01 UTC,2.52,0.0,2.52,0.0,20.27
2018-06-18 06:49:01 UTC,8.39,0.02,8.38,0.13,66.21
2018-06-18 06:50:01 UTC,8.92,0.05,8.87,0.67,71.61
2018-06-18 06:51:01 UTC,3.03,0.03,3.0,0.4,24.24
2018-06-18 06:52:01 UTC,5.08,1.15,3.93,35.59,32.26
2018-06-18 06:53:01 UTC,3.87,0.17,3.7,7.33,32.67
2018-06-18 06:54:01 UTC,7.34,0.1,7.24,1.07,56.61
2018-06-18 06:55:01 UTC,3.5,0.27,3.23,3.73,26.11
2018-06-18 06:56:01 UTC,3.87,0.08,3.78,1.33,31.46
2018-06-18 06:57:01 UTC,3.3,0.02,3.28,0.13,26.92
2018-06-18 06:58:01 UTC,2.85,0.0,2.85,0.0,22.8
2018-06-18 06:59:01 UTC,2.78,0.02,2.77,0.13,22.4
2018-06-18 07:00:01 UTC,3.3,0.08,3.22,3.47,27.86
2018-06-18 07:01:01 UTC,3.93,0.72,3.22,33.87,27.87
2018-06-18 07:02:01 UTC,2.83,0.0,2.83,0.0,24.27
2018-06-18 07:03:01 UTC,2.75,0.0,2.75,0.0,22.54
2018-06-18 07:04:01 UTC,2.9,0.0,2.9,0.0,25.2
2018-06-18 07:05:01 UTC,2.72,0.07,2.66,7.7,21.51
2018-06-18 07:06:01 UTC,3.38,0.12,3.26,0.93,26.64
2018-06-18 07:07:01 UTC,2.81,0.03,2.78,0.53,22.51
2018-06-18 07:08:01 UTC,3.0,0.0,3.0,0.0,26.53
2018-06-18 07:09:01 UTC,2.42,0.0,2.42,0.0,22.94
2018-06-18 07:10:01 UTC,3.12,0.3,2.82,4.27,22.54
2018-06-18 07:11:01 UTC,3.27,0.0,3.27,0.0,28.26
2018-06-18 07:12:01 UTC,9.47,0.45,9.02,8.27,71.75
2018-06-18 07:13:01 UTC,3.18,0.12,3.06,3.2,24.92
2018-06-18 07:14:01 UTC,2.9,0.0,2.9,0.0,25.2
2018-06-18 07:15:01 UTC,2.72,0.07,2.65,5.2,21.46
2018-06-18 07:16:01 UTC,3.52,0.08,3.43,0.93,28.39
2018-06-18 07:17:01 UTC,3.0,0.0,3.0,0.0,24.42
2018-06-18 07:18:01 UTC,4.46,0.53,3.93,9.19,33.16
2018-06-18 07:19:01 UTC,9.4,3.01,6.39,88.62,66.83
2018-06-18 07:20:01 UTC,22.97,14.43,8.53,342.67,82.72
2018-06-18 07:21:01 UTC,22.37,14.75,7.62,326.94,68.36
2018-06-18 07:22:01 UTC,5.44,1.91,3.53,40.46,28.61
2018-06-18 07:23:01 UTC,4.64,0.85,3.79,23.95,32.2
2018-06-18 07:24:01 UTC,5.15,1.81,3.35,60.31,27.71
2018-06-18 07:25:01 UTC,12.39,8.77,3.62,404.98,29.06
2018-06-18 07:26:01 UTC,10.17,5.33,4.85,170.22,53.91
2018-06-18 07:27:01 UTC,9.03,5.08,3.94,416.44,35.52
2018-06-18 07:28:01 UTC,18.32,12.0,6.32,837.07,63.28
2018-06-18 07:29:01 UTC,12.33,3.85,8.48,105.67,69.3
2018-06-18 07:30:01 UTC,33.39,28.16,5.23,759.87,48.61
2018-06-18 07:31:01 UTC,17.51,11.01,6.5,405.69,55.29
2018-06-18 07:32:01 UTC,6.36,2.31,4.04,40.68,58.68
2018-06-18 07:33:01 UTC,22.22,12.6,9.62,186.8,82.03
2018-06-18 07:34:01 UTC,13.12,3.28,9.84,78.17,87.18
2018-06-18 07:35:01 UTC,38.92,32.46,6.46,1437.2,77.6
2018-06-18 07:36:01 UTC,19.5,16.22,3.28,392.81,29.42
2018-06-18 07:37:01 UTC,4.24,1.53,2.71,49.75,24.35
2018-06-18 07:38:01 UTC,3.47,0.23,3.23,4.38,26.68
2018-06-18 07:39:01 UTC,13.04,9.48,3.56,558.52,55.05
2018-06-18 07:40:01 UTC,14.52,10.77,3.75,293.98,30.94
2018-06-18 07:41:01 UTC,12.99,9.26,3.74,242.64,32.26
2018-06-18 07:42:01 UTC,8.79,5.88,2.91,183.15,26.05
2018-06-18 07:43:01 UTC,3.47,0.13,3.33,1.73,27.73
2018-06-18 07:44:01 UTC,5.8,3.15,2.65,92.14,21.74
2018-06-18 07:45:01 UTC,5.03,1.48,3.55,22.92,29.59
2018-06-18 07:46:01 UTC,2.98,0.0,2.98,0.0,25.47
2018-06-18 07:47:01 UTC,2.73,0.0,2.73,0.0,22.14
2018-06-18 07:48:01 UTC,3.17,0.3,2.87,6.0,24.54
